Auction,Environment,Model,N,Mean_Ratio,Optimal_Ratio,SMAD
First-Price IPV,IPV,GPT-4o,149,0.8329942102447645,0.6666666666666666,30.70974306792166
First-Price IPV,IPV,Claude Sonnet,89,0.8990016477661908,0.6666666666666666,35.227469670710576
First-Price IPV,IPV,GPT-5-mini,86,0.6666972439219288,0.6666666666666666,0.11225864391558123
First-Price IPV,IPV,Gemini,89,0.8925969339074957,0.6666666666666666,39.55589254766032
First-Price IPV,IPV,Llama,89,0.35835506508863024,0.6666666666666666,55.79939341421144
Second-Price IPV,IPV,GPT-4o,149,0.8742931235987309,1.0,10.328160773340116
Second-Price IPV,IPV,Claude Sonnet,89,1.0632909018768213,1.0,9.471403812824958
Second-Price IPV,IPV,GPT-5-mini,86,0.9961538461538461,1.0,0.19369369369369374
Second-Price IPV,IPV,Gemini,86,0.9716535453181723,1.0,2.9459459459459465
Second-Price IPV,IPV,Llama,89,0.507933267187815,1.0,53.509532062391685
Third-Price IPV,IPV,GPT-4o,137,0.8293873834185382,2.0,56.43322937340515
Third-Price IPV,IPV,Claude Sonnet,89,1.052236719562092,2.0,48.16724436741768
Third-Price IPV,IPV,GPT-5-mini,86,1.6520779637648884,2.0,22.464125560538115
Third-Price IPV,IPV,Gemini,89,0.9234226312534911,2.0,53.581022530329285
Third-Price IPV,IPV,Llama,89,0.372231031388588,2.0,81.42331022530328
SPSB (APV),APV,Claude Sonnet,90,1.014110342498489,1.0,9.394071490845684
SPSB (APV),APV,GPT-5-mini,87,0.9848606653007642,1.0,1.3258426966292134
SPSB (APV),APV,Gemini,87,0.9133665537185708,1.0,7.842696629213482
SPSB (APV),APV,Llama,90,0.4872373105739463,1.0,52.057541412380125
Ascending Clock (APV),APV,GPT-5-mini,318,0.9402789321125498,1.0,7.743837084673097
First-Price CV,CV,Claude Sonnet,87,1.0718196770414596,,
First-Price CV,CV,GPT-5-mini,90,1.1393879938963392,,
First-Price CV,CV,Gemini,90,0.8742181318918777,,
First-Price CV,CV,Llama,90,0.7416670523738851,,
Second-Price CV (English),CV,Claude Sonnet,87,1.1357029481850105,,
Second-Price CV (English),CV,GPT-5-mini,90,1.1592302797056702,,
Second-Price CV (English),CV,Gemini,90,0.9149439329283047,,
Second-Price CV (English),CV,Llama,90,0.936125524976236,,
