auction,model,model_key,smad,ci_lower,ci_upper,has_ci,se,n
First-Price IPV,Human,human,24.7639,24.7639,24.7639,False,0.0,0
Second-Price IPV,Human,human,5.646,5.646,5.646,False,0.0,0
Third-Price IPV,Human,human,7.6566,7.6566,7.6566,False,0.0,0
AC-Closed (AC-B) APV,Human,human,5.83,2.57,9.09,True,0.0,0
Second-Price APV,Human,human,9.31,6.91,11.7,True,0.0,0
Ascending Clock APV,Human,human,3.54,2.0,5.09,True,0.0,0
First-Price CV,Human,human,47.59,47.59,47.59,False,0.0,0
Second-Price CV,Human,human,18.23,18.23,18.23,False,0.0,0
First-Price IPV,Claude Sonnet,claude_sonnet,24.090370370370373,21.169342956168762,27.011397784571983,,1.4903201092865366,90
First-Price IPV,Gemini,gemini,27.050370370370377,23.715106782242604,30.38563395849815,,1.7016650959835586,90
First-Price IPV,GPT-5-mini,gpt5mini,0.07662835249042127,0.06269639329115156,0.09056031168969098,,0.007108142448606997,87
First-Price IPV,Llama,llama,38.162962962962965,32.790432359242615,43.535493566683314,,2.7410870427144625,90
Second-Price IPV,Claude Sonnet,claude_sonnet,9.719999999999999,7.830722073662448,11.60927792633755,,0.9639173093558934,90
Second-Price IPV,Gemini,gemini,3.006896551724139,1.8994236656026455,4.114369437845633,,0.5650371867966804,87
Second-Price IPV,GPT-5-mini,gpt5mini,0.19770114942528738,-0.18979310344827566,0.5851954022988504,,0.19770114942528727,87
Second-Price IPV,Llama,llama,54.89333333333334,46.49318354457314,63.293483122093534,,4.285790708551121,90
Second-Price APV,Claude Sonnet,claude_sonnet,9.577777777777778,8.435802137790272,10.719753417765283,,0.5826406326466863,90
Second-Price APV,Gemini,gemini,8.022988505747126,6.03782951084038,10.008147500653871,,1.0128362218911966,87
Second-Price APV,GPT-5-mini,gpt5mini,1.3563218390804597,0.6252029162833964,2.087440761877523,,0.37301985856993025,87
Second-Price APV,Llama,llama,53.07555555555555,44.844633264238254,61.30647784687285,,4.199450148631274,90
Ascending Clock APV,Claude Sonnet,claude_sonnet,5.739130434782608,3.979254324499424,7.499006545065793,,0.897895974634278,46
Ascending Clock APV,Gemini,gemini,0.0,0.0,0.0,,0.0,2
Ascending Clock APV,Llama,llama,104.1,65.26747239748615,142.93252760251386,,19.81251408291523,8
AC-Closed (AC-B) APV,Claude Sonnet,claude_sonnet,8.171241461241152e-14,-7.844391802791505e-14,2.418687472527381e-13,,8.171241461241152e-14,2
AC-Closed (AC-B) APV,Gemini,gemini,1.2608695652173914,0.5677448328928505,1.9539942975419322,,0.35363506751252083,46
AC-Closed (AC-B) APV,Llama,llama,67.0,18.0,116.0,,25.0,2
Third-Price IPV,Claude Sonnet,claude_sonnet,33.04055555555555,30.3874891998756,35.693621911235496,,1.3536052835101784,240
Third-Price IPV,Gemini,gemini,42.10888888888888,39.205394221409215,45.01238355636854,,1.4813748303467684,240
Third-Price IPV,GPT-5-mini,gpt5mini,24.721025641025633,19.05625285237732,30.385798429673947,,2.8901901982899556,130
Third-Price IPV,Llama,llama,93.52611111111109,85.98897345209099,101.0632487701312,,3.84547839745924,240
First-Price CV,Claude Sonnet,claude_sonnet,54.068965517241374,40.46014045666777,67.67779057781497,,6.943278092129387,29
First-Price CV,Gemini,gemini,59.5,45.491293151916004,73.50870684808399,,7.147299412287754,30
First-Price CV,GPT-5-mini,gpt5mini,30.21666666666667,24.05855666199562,36.37477667133771,,3.1418928595260445,30
First-Price CV,Llama,llama,53.68333333333334,38.35452073937353,69.01214592729315,,7.82082275202031,30
Second-Price CV,Claude Sonnet,claude_sonnet,27.18965517241379,19.065746182182465,35.313564162645115,,4.144851525628227,29
Second-Price CV,Gemini,gemini,30.891666666666662,21.900713847510268,39.88261948582306,,4.587220826100201,30
Second-Price CV,GPT-5-mini,gpt5mini,14.8,10.995602357504907,18.604397642495094,,1.9410192053546393,30
Second-Price CV,Llama,llama,32.266666666666666,21.351161385611615,43.18217194772171,,5.569135347477067,30
