row,family,label,model,domain,treatment,baseline,D_t,se_t,D_b,se_b,n_t,rho,pooled_median_rho,pooled_ci_lo,pooled_ci_hi
osp,A,Ascending clock / iterative DA (OSP),GPT-4o,auction,ascending_clock_closed,POOLED_axis_baseline,1.85374,0.2516301020408163,11.3805,0.5489285714285713,120.0,0.8371126048943368,0.954843560666406,0.8367858670072004,1.0
osp,A,Ascending clock / iterative DA (OSP),GPT-4o,DA,osp_baseline,direct_baseline,0.0,0.0,1.0,0.345654,184.0,1.0,0.954843560666406,0.8367858670072004,1.0
osp,A,Ascending clock / iterative DA (OSP),Claude 3.5 Haiku,auction,ascending_clock_closed,POOLED_axis_baseline,1.44218,0.10759438775510204,9.53492,0.4292500000000001,150.0,0.8487475511068787,0.954843560666406,0.8367858670072004,1.0
osp,A,Ascending clock / iterative DA (OSP),Claude 3.5 Haiku,DA,osp_baseline,direct_baseline,0.0,0.0,5.75,0.818095,196.0,1.0,0.954843560666406,0.8367858670072004,1.0
osp,A,Ascending clock / iterative DA (OSP),Gemini 2.0 Flash,auction,ascending_clock_closed,POOLED_axis_baseline,5.17007,0.3904617346938774,11.7433,0.7445408163265306,120.0,0.5597430023928538,0.954843560666406,0.8367858670072004,1.0
osp,A,Ascending clock / iterative DA (OSP),Gemini 2.0 Flash,DA,osp_baseline,direct_baseline,0.0,0.0,7.58333,0.797011,196.0,1.0,0.954843560666406,0.8367858670072004,1.0
osp,A,Ascending clock / iterative DA (OSP),Gemma 3 27B,auction,ascending_clock_closed,POOLED_axis_baseline,1.87075,0.18221428571428566,20.7141,0.7898979591836742,120.0,0.9096871213328119,0.954843560666406,0.8367858670072004,1.0
osp,A,Ascending clock / iterative DA (OSP),Gemma 3 27B,DA,osp_baseline,direct_baseline,0.0,0.0,2.58333,0.662559,180.0,1.0,0.954843560666406,0.8367858670072004,1.0
safety,B2,Safety description (payoff / rejection),GPT-4o,auction,axis2_forward_onestep,axis2_forward_baseline,7.73878,0.8004132653061224,10.0327,0.5560229591836735,150.0,0.22864433303098863,0.896221490011798,0.3403068943002128,1.0
safety,B2,Safety description (payoff / rejection),GPT-4o,DA,axis2_monotonic_safety,direct_baseline,0.0,0.0,1.0,0.345654,200.0,1.0,0.896221490011798,0.3403068943002128,1.0
safety,B2,Safety description (payoff / rejection),Claude 3.5 Haiku,auction,axis2_forward_onestep,axis2_forward_baseline,4.78095,0.46857397959183683,12.0082,0.43739795918367325,150.0,0.6018595626322014,0.896221490011798,0.3403068943002128,1.0
safety,B2,Safety description (payoff / rejection),Claude 3.5 Haiku,DA,axis2_monotonic_safety,direct_baseline,0.833333,0.370593,5.75,0.818095,200.0,0.8550725217391304,0.896221490011798,0.3403068943002128,1.0
safety,B2,Safety description (payoff / rejection),Gemini 2.0 Flash,auction,axis2_forward_onestep,axis2_forward_baseline,1.56463,0.22282397959183672,24.9823,1.4634693877551026,150.0,0.9373704582844654,0.896221490011798,0.3403068943002128,1.0
safety,B2,Safety description (payoff / rejection),Gemini 2.0 Flash,DA,axis2_monotonic_safety,direct_baseline,0.0,0.0,7.58333,0.797011,200.0,1.0,0.896221490011798,0.3403068943002128,1.0
safety,B2,Safety description (payoff / rejection),Gemma 3 27B,auction,axis2_forward_onestep,axis2_forward_baseline,17.8068,1.171224489795919,8.63401,0.8331352040816323,150.0,-1.062402058834771,0.896221490011798,0.3403068943002128,1.0
safety,B2,Safety description (payoff / rejection),Gemma 3 27B,DA,axis2_monotonic_safety,direct_baseline,0.0,0.0,2.58333,0.662559,200.0,1.0,0.896221490011798,0.3403068943002128,1.0
clockframe,B3,"Clock framing (sealed-bid, text only)",GPT-4o,auction,intervention_proxy_breitmoser,POOLED_axis_baseline,6.2966,0.6970178571428571,11.3805,0.5489285714285713,150.0,0.4467202671235886,0.28862363169798205,0.17243930908642283,0.44667635486843105
clockframe,B3,"Clock framing (sealed-bid, text only)",Claude 3.5 Haiku,auction,intervention_proxy_breitmoser,POOLED_axis_baseline,7.23265,0.3610127551020408,9.53492,0.4292500000000001,150.0,0.24145666665268295,0.28862363169798205,0.17243930908642283,0.44667635486843105
clockframe,B3,"Clock framing (sealed-bid, text only)",Gemini 2.0 Flash,auction,intervention_proxy_breitmoser,POOLED_axis_baseline,9.47846,1.1084464285714286,11.7433,0.7445408163265306,135.0,0.19286231297846423,0.28862363169798205,0.17243930908642283,0.44667635486843105
clockframe,B3,"Clock framing (sealed-bid, text only)",Gemma 3 27B,auction,intervention_proxy_breitmoser,POOLED_axis_baseline,13.7585,1.688010204081633,20.7141,0.7898979591836742,144.0,0.33579059674328116,0.28862363169798205,0.17243930908642283,0.44667635486843105
menu_auc,B1,Menu restatement -- auction,GPT-4o,auction,intervention_menu,POOLED_axis_baseline,16.7293,1.7273469387755103,11.3805,0.5489285714285713,150.0,-0.46999692456394704,-0.2166438149644459,-0.7693924679386652,0.5877850299481893
menu_auc,B1,Menu restatement -- auction,Claude 3.5 Haiku,auction,intervention_menu,POOLED_axis_baseline,16.8381,1.0246938775510204,9.53492,0.4292500000000001,150.0,-0.7659403539830436,-0.2166438149644459,-0.7693924679386652,0.5877850299481893
menu_auc,B1,Menu restatement -- auction,Gemini 2.0 Flash,auction,intervention_menu,POOLED_axis_baseline,4.60364,0.7098622448979591,11.7433,0.7445408163265306,147.0,0.6079773147241405,-0.2166438149644459,-0.7693924679386652,0.5877850299481893
menu_auc,B1,Menu restatement -- auction,Gemma 3 27B,auction,intervention_menu,POOLED_axis_baseline,19.9537,1.6491836734693879,20.7141,0.7898979591836742,141.0,0.036709294635055234,-0.2166438149644459,-0.7693924679386652,0.5877850299481893
menu_mech,B1,"Menu, mechanics restated -- DA",GPT-4o,DA,direct_menu_mechanics,direct_baseline,4.16667,0.687309,1.0,0.345654,200.0,-3.16667,-1.6702915217391303,-5.0148021951128,0.5721839872230492
menu_mech,B1,"Menu, mechanics restated -- DA",Claude 3.5 Haiku,DA,direct_menu_mechanics,direct_baseline,6.75,0.759541,5.75,0.818095,200.0,-0.17391304347826098,-1.6702915217391303,-5.0148021951128,0.5721839872230492
