model,lever,n_intent_stated,dir_consistency,n_calib,calib_coverage,exact_match,within_0p5,corr_stated_realized,mean_abs_stated_minus_realized
claude-3-5-haiku-20241022,Backward induction,124,1.0,134,0.8933,0.3358,0.791,0.9993,0.4448
gemini-2.0-flash,Backward induction,126,0.5476,59,0.3933,0.9831,0.9831,0.9844,0.2924
google/gemma-3-27b-it,Backward induction,64,0.9844,145,0.9667,0.9931,0.9931,0.9997,0.0207
gpt-4o,Backward induction,99,1.0,133,0.8867,0.985,0.985,0.9995,0.0414
claude-3-5-haiku-20241022,Baseline SPSB,125,0.96,125,0.8333,0.624,0.744,0.9949,0.4752
gemini-2.0-flash,Baseline SPSB,132,1.0,138,0.92,0.9928,0.9928,0.9999,0.0181
google/gemma-3-27b-it,Baseline SPSB,9,1.0,137,0.9133,0.8613,0.9927,0.9999,0.0504
gpt-4o,Baseline SPSB,95,0.9368,106,0.7067,0.9245,0.9717,0.9999,0.0481
claude-3-5-haiku-20241022,Clock-framing,129,1.0,135,0.9,0.1556,0.3481,0.9988,0.7511
gemini-2.0-flash,Clock-framing,116,1.0,120,0.8889,0.95,0.95,0.9541,0.745
google/gemma-3-27b-it,Clock-framing,61,0.7213,140,0.9722,0.95,1.0,1.0,0.0071
gpt-4o,Clock-framing,111,1.0,111,0.74,1.0,1.0,1.0,0.0
claude-3-5-haiku-20241022,Common-knowledge beliefs,92,0.9891,129,0.86,0.5969,0.7287,0.9945,0.5124
gemini-2.0-flash,Common-knowledge beliefs,110,0.9818,118,0.7867,0.9746,0.9746,0.9899,0.2873
google/gemma-3-27b-it,Common-knowledge beliefs,63,0.5556,94,0.6267,0.9362,1.0,1.0,0.0234
gpt-4o,Common-knowledge beliefs,108,0.9907,105,0.7,0.9524,0.9524,0.9919,0.2257
claude-3-5-haiku-20241022,Dominated,134,0.8806,103,0.6867,0.3689,0.466,0.9307,1.2883
gemini-2.0-flash,Dominated,139,0.9928,133,0.8867,0.9474,0.9474,0.9382,1.0286
google/gemma-3-27b-it,Dominated,57,0.3509,117,0.78,0.9145,0.9658,0.9895,0.3162
gpt-4o,Dominated,82,0.8659,111,0.74,0.991,1.0,1.0,0.0009
claude-3-5-haiku-20241022,Endowment,99,1.0,120,0.9524,0.2833,0.4,0.9975,0.8742
gemini-2.0-flash,Endowment,140,1.0,138,0.92,0.9565,0.971,0.9568,0.6174
google/gemma-3-27b-it,Endowment,10,0.6,144,0.96,0.7778,0.9583,0.9906,0.3174
gpt-4o,Endowment,112,0.9643,104,0.6933,0.9712,0.9904,0.9999,0.024
claude-3-5-haiku-20241022,Enumerate,140,0.9929,127,0.8467,0.3228,0.4016,0.9709,1.1307
gemini-2.0-flash,Enumerate,141,0.9929,127,0.8467,0.9843,0.9843,0.9801,0.2457
