Axis,Intervention,Auction,N,Mean_Bid_Ratio,Std_Bid_Ratio,Optimal_Ratio,Distance_from_Optimal
Contingent Reasoning,Baseline,FPSB,149,0.8329942102447645,0.15654396773567508,0.6666666666666666,0.16632754357809787
Contingent Reasoning,Baseline,TPSB,137,0.8293873834185382,0.19151765783321587,2.0,1.1706126165814617
Contingent Reasoning,List Cases,FPSB,137,0.7700460836846496,0.1851413161858857,0.6666666666666666,0.10337941701798292
Contingent Reasoning,List Cases,TPSB,146,0.8007464917567437,0.1994685127783589,2.0,1.1992535082432563
Contingent Reasoning,Dominated Bid,FPSB,137,0.9192795704566115,0.09990826334850474,0.6666666666666666,0.25261290378994483
Contingent Reasoning,Dominated Bid,TPSB,146,0.8800254253850757,0.17823661722442097,2.0,1.1199745746149243
Contingent Reasoning,Worst Case,FPSB,134,0.8906312803512302,0.15380851860233896,0.6666666666666666,0.22396461368456355
Contingent Reasoning,Worst Case,TPSB,149,0.8842343558447835,0.1888250776528039,2.0,1.1157656441552164
Contingent Reasoning,Nash Deviation,FPSB,149,0.836964582429912,0.13202877968568189,0.6666666666666666,0.17029791576324538
Contingent Reasoning,Nash Deviation,TPSB,137,0.8923487852304067,0.18516452736416683,2.0,1.1076512147695934
Forward Planning,Two-Stage OSP,FPSB,149,0.8945448200411623,0.08214786557508569,0.6666666666666666,0.22787815337449568
Forward Planning,Two-Stage OSP,TPSB,149,0.8782734465877854,0.08570183509490575,2.0,1.1217265534122145
Forward Planning,Backward Induct,FPSB,149,0.9676712474950329,0.04395165766328023,0.6666666666666666,0.30100458082836623
Forward Planning,Backward Induct,TPSB,125,0.9155185989179268,0.09144568149660759,2.0,1.0844814010820731
Forward Planning,One-Step Look,FPSB,137,0.7664194224910512,0.11305447378844452,0.6666666666666666,0.09975275582438459
Forward Planning,One-Step Look,TPSB,137,0.9533348503589762,0.13740481661508352,2.0,1.0466651496410238
Forward Planning,Decision Tree,FPSB,149,0.7479537739039295,0.14390262824492048,0.6666666666666666,0.08128710723726285
Forward Planning,Decision Tree,TPSB,149,0.843973285158762,0.19193771368671977,2.0,1.156026714841238
Forward Planning,Proxy/Clock,FPSB,137,0.937603324624442,0.08604629456694284,0.6666666666666666,0.27093665795777533
Forward Planning,Proxy/Clock,TPSB,137,0.9344202137463697,0.09283621899617522,2.0,1.0655797862536303
Forward Planning,Menu Frame,FPSB,137,0.8513685665731733,0.12988392965500156,0.6666666666666666,0.18470189990650665
Forward Planning,Menu Frame,TPSB,137,0.8571788620792166,0.1648708551270349,2.0,1.1428211379207833
Higher-Order Beliefs,Rational Others,FPSB,149,0.8714251683069072,0.10081267083538945,0.6666666666666666,0.20475850164024056
Higher-Order Beliefs,Rational Others,TPSB,125,0.7967932207348014,0.2022147511683951,2.0,1.2032067792651986
Higher-Order Beliefs,First-Order,FPSB,149,0.8090015404259562,0.15621935280794838,0.6666666666666666,0.14233487375928955
