Axis,Intervention,Auction,N,Mean_Ratio,Optimal,SMAD
Contingent Reasoning,Baseline,SPSB,290,0.8294057975210583,1.0,12.675047310083809
Contingent Reasoning,Baseline,FPSB,293,0.8788275618628631,0.6666666666666666,39.57173447537475
Contingent Reasoning,List Cases,SPSB,290,0.8619249878419366,1.0,18.32272049857743
Contingent Reasoning,List Cases,FPSB,285,0.8070937658336826,0.6666666666666666,37.29511561089069
Contingent Reasoning,Dominated Bid,SPSB,290,0.839425623473824,1.0,14.483831687187118
Contingent Reasoning,Dominated Bid,FPSB,284,0.8583473397878767,0.6666666666666666,38.69505114735969
Contingent Reasoning,Worst Case,SPSB,287,0.8011897468643083,1.0,16.380046851315974
Contingent Reasoning,Worst Case,FPSB,284,0.865907635502593,0.6666666666666666,42.60872576177287
Contingent Reasoning,Nash Deviation,SPSB,0,,1.0,
Contingent Reasoning,Nash Deviation,FPSB,284,0.8621240565856025,0.6666666666666666,36.96276449574059
Forward Planning,Two-Stage OSP,SPSB,287,0.9349012477228636,1.0,8.88949522510232
Forward Planning,Two-Stage OSP,FPSB,293,0.9399634463702194,0.6666666666666666,41.64815310492507
Forward Planning,Backward Induct,SPSB,290,0.8995776788071562,1.0,10.150295222758992
Forward Planning,Backward Induct,FPSB,284,0.93530999317049,0.6666666666666666,44.89560287610618
Forward Planning,One-Step Look,SPSB,290,0.8490297282363722,1.0,13.434888110002696
Forward Planning,One-Step Look,FPSB,284,0.8007102928379725,0.6666666666666666,29.81819438683811
Forward Planning,Decision Tree,SPSB,287,0.9666515867725748,1.0,3.333789329685364
Forward Planning,Decision Tree,FPSB,287,0.7744922211168284,0.6666666666666666,24.032192339038303
Forward Planning,Proxy/Clock,SPSB,0,,1.0,
Forward Planning,Proxy/Clock,FPSB,293,0.9717613688816347,0.6666666666666666,46.199143468950766
Forward Planning,Menu Frame,SPSB,0,,1.0,
Forward Planning,Menu Frame,FPSB,293,0.8792247946365558,0.6666666666666666,40.81236616702357
Higher-Order Beliefs,Rational Others,SPSB,287,0.8455264030939541,1.0,10.982216142270863
Higher-Order Beliefs,Rational Others,FPSB,284,0.8715067695582128,0.6666666666666666,40.88633849557521
Higher-Order Beliefs,First-Order,SPSB,287,0.8962970039796709,1.0,9.658456932916042
Higher-Order Beliefs,First-Order,FPSB,293,0.8372898061484603,0.6666666666666666,37.26512312633834
Higher-Order Beliefs,Second-Order,SPSB,290,0.8301338938881564,1.0,13.962390866353257
Higher-Order Beliefs,Second-Order,FPSB,282,0.8863943363615133,0.6666666666666666,39.15458937198067
Higher-Order Beliefs,Common Know,SPSB,290,0.9132963060705963,1.0,7.067281606077052
Higher-Order Beliefs,Common Know,FPSB,290,0.9723532342775607,0.6666666666666666,48.88701858335578
Prospect Theory,LA: Baseline,SPSB,287,0.8281789823128112,1.0,12.8978428978429
Prospect Theory,LA: Baseline,FPSB,293,0.8788275618628631,0.6666666666666666,39.57173447537475
Prospect Theory,LA: Gain Frame,SPSB,290,0.839018965560822,1.0,10.131578947368423
Prospect Theory,LA: Gain Frame,FPSB,293,0.8376385879392754,0.6666666666666666,34.75843147751607
Prospect Theory,LA: Loss Frame,SPSB,287,0.7900930509070992,1.0,14.695876990066676
Prospect Theory,LA: Loss Frame,FPSB,284,0.7958415084465673,0.6666666666666666,33.268808347062055
Prospect Theory,LA: Mixed Frame,SPSB,290,0.7697988979585457,1.0,15.687203791469194
Prospect Theory,LA: Mixed Frame,FPSB,290,0.7908331482475972,0.6666666666666666,35.36874154262517
Prospect Theory,LA: Endowment,SPSB,287,0.7897818229187494,1.0,14.22652310208532
Prospect Theory,LA: Endowment,FPSB,293,0.8336119779614162,0.6666666666666666,38.99223768736618
Prospect Theory,LA: WTA vs WTP,SPSB,290,0.9338829323376492,1.0,5.408301682040152
Prospect Theory,LA: WTA vs WTP,FPSB,293,0.9115944478075045,0.6666666666666666,42.8245449678801
Prospect Theory,Risk Averse,SPSB,0,,1.0,
Prospect Theory,Risk Averse,FPSB,290,0.7968266213216995,0.6666666666666666,27.755558568329732
Prospect Theory,Risk Neutral,SPSB,0,,1.0,
Prospect Theory,Risk Neutral,FPSB,290,0.9066326017448916,0.6666666666666666,39.55331991951711
Prospect Theory,Risk Seeking,SPSB,0,,1.0,
Prospect Theory,Risk Seeking,FPSB,290,0.9874568713902885,0.6666666666666666,46.94343434343433
Strategy Revelation,Correct Strategy,SPSB,0,,1.0,
Strategy Revelation,Correct Strategy,FPSB,284,0.665969202504393,0.6666666666666666,0.14370595550642568
Strategy Revelation,Wrong Strategy,SPSB,0,,1.0,
Strategy Revelation,Wrong Strategy,FPSB,293,0.5004375641166077,0.6666666666666666,24.88758029978587
