Axis,Intervention,Auction,N,Mean_Ratio,Std_Ratio,Optimal_Ratio,Distance_from_Optimal,SMAD
Contingent Reasoning,Baseline,FPSB,293,0.8788275618628631,0.17912116147844995,0.6666666666666666,0.21216089519619652,39.57173447537475
Contingent Reasoning,Baseline,TPSB,287,0.8282112425837753,0.21278818245600442,2.0,1.1717887574162247,55.59700467161308
Contingent Reasoning,List Cases,FPSB,285,0.8070937658336826,0.27096854729591136,0.6666666666666666,0.140427099167016,37.29511561089069
Contingent Reasoning,List Cases,TPSB,287,0.8435522115380132,0.31463686028475957,2.0,1.1564477884619868,56.61800651819664
Contingent Reasoning,Dominated Bid,FPSB,284,0.8583473397878767,0.22528494818477024,0.6666666666666666,0.19168067312121007,38.69505114735969
Contingent Reasoning,Dominated Bid,TPSB,284,0.8457482346214107,0.2875835739062204,2.0,1.1542517653785893,53.84022038567493
Contingent Reasoning,Worst Case,FPSB,284,0.865907635502593,0.2243083119913756,0.6666666666666666,0.19924096883592635,42.60872576177287
Contingent Reasoning,Worst Case,TPSB,290,0.8376407471617012,0.22419776327823449,2.0,1.1623592528382987,55.276011365173865
Contingent Reasoning,Nash Deviation,FPSB,284,0.8621240565856025,0.16367174413992164,0.6666666666666666,0.1954573899189359,36.96276449574059
Contingent Reasoning,Nash Deviation,TPSB,290,0.8850627659868208,0.20163115924760774,2.0,1.1149372340131793,53.765715830742195
Forward Planning,Two-Stage OSP,FPSB,293,0.9399634463702194,0.10320395686748689,0.6666666666666666,0.2732967797035528,41.64815310492507
Forward Planning,Two-Stage OSP,TPSB,284,0.9086099303946324,0.12738781549484704,2.0,1.0913900696053676,54.067067340527245
Forward Planning,Backward Induct,FPSB,284,0.93530999317049,0.1547770063779827,0.6666666666666666,0.2686433265038234,44.89560287610618
Forward Planning,Backward Induct,TPSB,287,0.9229292210989992,0.122391754248929,2.0,1.0770707789010008,54.33333333333333
Forward Planning,One-Step Look,FPSB,284,0.8007102928379725,0.17357704310587868,0.6666666666666666,0.13404362617130583,29.81819438683811
