Auction,Model,N,Mean_Bid_Ratio,Std_Bid_Ratio,Optimal_Ratio,Distance_from_Optimal,SMAD
First-Price IPV,GPT-5-mini,86,0.6666972439219288,0.00132805859156408,0.6666666666666666,3.057725526212085e-05,0.11225864391558123
First-Price IPV,Claude Sonnet,89,0.8990016477661908,0.0999306783153362,0.6666666666666666,0.23233498109952422,35.227469670710576
First-Price IPV,Gemini,89,0.8925969339074957,0.14792337804316844,0.6666666666666666,0.2259302672408291,39.55589254766032
First-Price IPV,Llama,89,0.35835506508863024,0.30479007885076415,0.6666666666666666,0.3083116015780364,55.79939341421144
First-Price IPV,GPT-4o (t=0.1),0,,,0.6666666666666666,,
First-Price IPV,GPT-4o (t=1.0),0,,,0.6666666666666666,,
Third-Price IPV,GPT-5-mini,86,1.6520779637648884,0.43535276945036605,2.0,0.34792203623511164,22.464125560538115
Third-Price IPV,Claude Sonnet,89,1.052236719562092,0.09764871336298507,2.0,0.9477632804379079,48.16724436741768
Third-Price IPV,Gemini,89,0.9234226312534911,0.11132108149446322,2.0,1.0765773687465088,53.581022530329285
Third-Price IPV,Llama,89,0.372231031388588,0.25836974096811705,2.0,1.627768968611412,81.42331022530328
Third-Price IPV,GPT-4o (t=0.1),0,,,2.0,,
Third-Price IPV,GPT-4o (t=1.0),0,,,2.0,,
Second-Price IPV,GPT-5-mini,86,0.9961538461538461,0.03545978637420342,1.0,0.0038461538461539435,0.19369369369369374
Second-Price IPV,Claude Sonnet,89,1.0632909018768213,0.14780684432114075,1.0,0.06329090187682129,9.471403812824958
Second-Price IPV,Gemini,86,0.9716535453181723,0.04335722322462592,1.0,0.028346454681827726,2.9459459459459465
Second-Price IPV,Llama,89,0.507933267187815,0.5128010268427399,1.0,0.49206673281218505,53.509532062391685
Second-Price IPV,GPT-4o (t=0.1),0,,,1.0,,
Second-Price IPV,GPT-4o (t=1.0),0,,,1.0,,
